"district","store_number","store_name","address","latitude","longitude","store_type","navermap_link"
"성남시분당구","64485","경원건설(주)","경기 성남시 분당구 안양판교로1201번길 161","0x1.2b0e46c25c308p5","0x1.fc53f6ae47a68p6","서비스,산업>기업",""
"성남시분당구","381723","오성기획","경기 성남시 분당구 느티로63번길 18-3","0x1.2af62eb87a2f7p5","0x1.fc72c5197a249p6","제조업>인쇄업",""
"성남시분당구","465351","고와라숙녀복","경기 성남시 분당구 내정로174번길 42,","0x1.2af8d3fef0358p5","0x1.fc7d1dcd7060cp6","",""
"성남시분당구","490839","예손치과","경기  성남시  분당구  서현동","0x1.2b102f72b4528p5","0x1.fc811d0777c38p6","병원,의원>치과",""
"성남시분당구","584763","바다복집","경기  성남시  분당구  수내동","0x1.2b00fadf2ecf2p5","0x1.fc78d87a7ff8ep6","해물,생선요리>복어요리",""
"성남시분당구","626341","돌마카센타","경기 성남시 분당구 불정로 255,","0x1.2aef80991793ap5","0x1.fc8176a1470dp6","",""
"성남시분당구","661066","센스콜레션","경기 성남시 분당구 중앙공원로31번길 42,","0x1.2b10aaa7ded6cp5","0x1.fc807f0faa97fp6","",""
"성남시분당구","661264","멕시칸제일분점","경기 성남시 분당구 판교로 431","0x1.2b3eff5c6c11ap5","0x1.fc7caa17961ecp6","",""
"성남시분당구","817643","한길유통","경기 성남시 분당구 불정로 260,","0x1.2aef2877178e9p5","0x1.fc826b49faf5dp6","",""
"성남시분당구","826826","쎈스라이트","경기 성남시 분당구 불곡로 4,","0x1.2ae014b599aa6p5","0x1.fc7dea10aa723p6","쇼핑,유통>조명,디스플레이","http://www.센스라이트조명.com"
"성남시분당구","832048","세모스쿠알렌분당점","경기 성남시 분당구 내정로165번길 38,","0x1.2b037f03155e3p5","0x1.fc7712b50e6a2p6","제조업>건강기능식품제조",""
"성남시분당구","832212","분당언더우드","경기 성남시 분당구 분당로53번길 20","0x1.2b12b01358a26p5","0x1.fc7d955dcab67p6","",""
"성남시분당구","835819","오에이프라자","경기  성남시  분당구  수내동","0x1.2b00fadf2ecf2p5","0x1.fc78d87a7ff8ep6","",""
"성남시분당구","846626","로빈슨크루소","경기 성남시 분당구 불정로 266,","0x1.2aefd74348543p5","0x1.fc82bfac52d9cp6","",""
"성남시분당구","862904","그린실내골프연습장","경기 성남시 분당구 판교로 443,","0x1.2b3ef03587a15p5","0x1.fc7e13bef9a57p6","",""
"성남시분당구","887794","분당스코필드","경기  성남시  분당구  서현동","0x1.2b102f72b4528p5","0x1.fc811d0777c38p6","",""
"성남시분당구","891382","메디파크치과의원","경기 성남시 분당구 돌마로 43,","0x1.2acd892d3acbbp5","0x1.fc6d3b66079bdp6","",""
"성남시분당구","898478","영양센타분당점","경기 성남시 분당구 분당로53번길 9,","0x1.2b124c180687p5","0x1.fc7c4270bdd84p6","",""
"성남시분당구","911792","멋쟁이카경정비","경기 성남시 분당구 구미로9번길 25","0x1.2ab91bc558644p5","0x1.fc7094df1fb5ap6","",""
"성남시분당구","963264","KT 로밍센터","경기  성남시  분당구  정자동","0x1.2ae43df52e14ep5","0x1.fc722a40456a7p6","",""
"성남시분당구","1146067","(주)광명사무기","경기 성남시 분당구 백현로 97,","0x1.2b03c6c97d8cfp5","0x1.fc7212eb950efp6","쇼핑,유통>사무기기","http://www.kmoa.co.kr/"
"성남시분당구","1179902","글라스바바안경","경기 성남시 분당구 성남대로 165,","0x1.2ace5eedcc20dp5","0x1.fc6ee85ef98aap6","가정,생활용품>안경원","http://www.facebook.com/baba031015"
"성남시분당구","1389741","더데이.걸","경기 성남시 분당구 분당로53번길 20","0x1.2b12b01358a26p5","0x1.fc7d955dcab67p6","",""
"성남시분당구","1456052","태평선식(주)금호대리점","경기 성남시 분당구 내정로165번길 38,","0x1.2b037f03155e3p5","0x1.fc7712b50e6a2p6","",""
"성남시분당구","1548882","수치과의원","경기 성남시 분당구 돌마로 478","0x1.2b040123ec6e5p5","0x1.fc88afcb34466p6","병원,의원>치과","http://www.yonseisu.co.kr"
"성남시분당구","1548908","우성동물병원","경기 성남시 분당구 돌마로 481,","0x1.2b05a89b951c6p5","0x1.fc881097fdb82p6","",""
"성남시분당구","1549021","라씨떼","경기 성남시 분당구 분당로53번길 15","0x1.2b13301b50be6p5","0x1.fc7ce9523e913p6","",""
"성남시분당구","1594910","녹원가든","경기 성남시 분당구 궁내로7번길 15","0x1.2af223abd6b3p5","0x1.fc66cdffd2b39p6","주택>연립,빌라",""
"성남시분당구","1620731","우리들한의원","경기 성남시 분당구 돌마로 478","0x1.2b040123ec6e5p5","0x1.fc88afcb34466p6","",""
"성남시분당구","1666296","진스플라워(삼성플라자)","경기  성남시  분당구  서현동","0x1.2b102f72b4528p5","0x1.fc811d0777c38p6","",""
"성남시분당구","1667088","명동칼국수","경기 성남시 분당구 미금로34번길 9","0x1.2ab27d1d62109p5","0x1.fc77a56de3327p6","한식>칼국수,만두",""
"성남시분당구","1674795","한빛치과의원","경기 성남시 분당구 성남대로 934,","0x1.2b4e2df5dc909p5","0x1.fc84670fd991dp6","병원,의원>치과",""
"성남시분당구","1692680","엔젤","경기 성남시 분당구 돌마로 79,","0x1.2acd9cfea8e7fp5","0x1.fc717297cd10cp6","미용>피부,체형관리","http://blog.naver.com/eju1004"
"성남시분당구","1701200","중앙한미캐드정보처리학원","경기  성남시  분당구  야탑동","0x1.2b4bbd95f8247p5","0x1.fc8557de0d66fp6","직업,기술학원>컴퓨터","http://www.hanmicad.com/"
"성남시분당구","1701572","현악기공방","경기 성남시 분당구 느티로 67,","0x1.2af3425a17a39p5","0x1.fc72b7564302bp6","쇼핑,유통>악기","http://cafe.naver.com/reduqivi"
"성남시분당구","1747112","롯데캐논중부센타","경기 성남시 분당구 미금일로86번길 5-1","0x1.2ac5baa4ac1c5p5","0x1.fc70dc4794134p6","",""
"성남시분당구","1768415","천사플라워","경기  성남시  분당구  백현동","0x1.2b1b91991a17ep5","0x1.fc718c6a062e1p6","",""
"성남시분당구","1809524","형제카서비스","경기 성남시 분당구 분당로311번길 10","0x1.2af0ceefbcbbep5","0x1.fc91734cfeb65p6","",""
"성남시분당구","1843945","최네부대찌개전문점","경기 성남시 분당구 분당로53번길 15,","0x1.2b13301b50be6p5","0x1.fc7ce9523e913p6","",""
"성남시분당구","1871516","신환기업","경기  성남시  분당구  수내동","0x1.2b00fadf2ecf2p5","0x1.fc78d87a7ff8ep6","",""
"성남시분당구","1966571","즐거운치과","경기 성남시 분당구 미금로 48,","0x1.2ab349cbfbec7p5","0x1.fc77561408cb8p6","병원,의원>치과",""
"성남시분당구","1991157","후박활어회","경기 성남시 분당구 분당로53번길 13,","0x1.2b12dee4fd454p5","0x1.fc7cb06232fbp6","",""
"성남시분당구","2622934","주식회사  자스텍","경기 성남시 분당구 판교로 242,","0x1.2b38211bd97a6p5","0x1.fc6786f120693p6","",""
"성남시분당구","2948768","(주)오르다코리아","경기 성남시 분당구 운중로 115,","0x1.2b22ef0ae5365p5","0x1.fc4dee63f649ap6","쇼핑,유통>유아,아동교재","http://www.orda.co.kr/"
"성남시분당구","2957488","(주)솜피","경기  성남시  분당구  삼평동","0x1.2b3fa6083ce56p5","0x1.fc772f5c0e1ddp6","",""
"성남시분당구","3156858","안경박사","경기  성남시  분당구  수내동","0x1.2b00fadf2ecf2p5","0x1.fc78d87a7ff8ep6","",""
"성남시분당구","3359015","세반안경","경기  성남시  분당구  수내동","0x1.2b00fadf2ecf2p5","0x1.fc78d87a7ff8ep6","",""
"성남시분당구","3494499","서울정보통신(주)","경기 성남시 분당구 성남대로 934,","0x1.2b4e2df5dc909p5","0x1.fc84670fd991dp6","",""
"성남시분당구","3526118","예본건강","경기  성남시  분당구  정자동","0x1.2ae43df52e14ep5","0x1.fc722a40456a7p6","",""
"성남시분당구","3620366","미래상사","경기 성남시 분당구 야탑로 28,","0x1.2b44fac0fbde3p5","0x1.fc7d08121d38fp6","협회,단체>화장품,미용",""
